"Accepted Symbol","Synonym Symbol","Scientific Name","PLANTS Floristic Area","State and Province","Category","Kingdom","Duration","Growth Habit","Active Growth Period","After Harvest Regrowth Rate","Fall Conspicuous","Fire Resistance","Flower Color","Flower Conspicuous","Foliage Color","Foliage Porosity Summer","Foliage Porosity Winter","Foliage Texture","Fruit Color","Fruit Conspicuous","Growth Form","Growth Rate","Height at Base Age, Maximum (feet)","Height, Mature (feet)","Leaf Retention","Lifespan","Low Growing Grass","Shape and Orientation","Toxicity","Adapted to Coarse Textured Soils","Adapted to Medium Textured Soils","Adapted to Fine Textured Soils","Drought Tolerance","Fertility Requirement","Fire Tolerance","Moisture Use","Precipitation (Minimum)","Precipitation (Maximum)","Shade Tolerance","Temperature, Minimum (F)","Bloom Period","Propogated by Bulbs","Berry/Nut/Seed Product","Palatable Human"
"ACCY2","","Acacia cyclops","NA (L48)","USA(CA)","Dicot","Plantae","Perennial","Shrub","Spring and Summer","","No","No","Yellow","Yes","Dark Green","Dense","Dense","Fine","Black","Yes","Multiple Stem","Rapid","12","12","Yes","Short","No","Semi-Erect","None","Yes","Yes","Yes","High","Low","Medium","Medium","16","40","Intolerant","14","Mid Spring","No","No","No"
"ACDE3","","Acacia dealbata","NA (L48)","USA(CA, OR)","Dicot","Plantae","Perennial","Tree, Shrub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACDE","","Acacia decurrens","NA (L48)","USA(CA)","Dicot","Plantae","Perennial","Tree","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACEL","","Acacia elata","NA (L48)","USA(CA)","Dicot","Plantae","Perennial","Tree","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACFA","","Acacia farnesiana","NA (L48), HI, PR, VI","USA (AL, AZ, CA, FL, GA, HI, LA, MS, NM, TX, UM), USA+ (PR, VI)","Dicot","Plantae","Perennial","Tree, Shrub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACGL4","","Acacia glauca","","","Dicot","Plantae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACGR","","Acacia greggii","NA (L48)","USA (AZ, CA, NM, NV, TX, UT)","Dicot","Plantae","Perennial","Tree, Shrub","Spring and Summer","","No","No","Yellow","Yes","Green","Porous","Porous","Fine","Brown","Yes","Multiple Stem","Slow","15","20","No","Long","No","Erect","None","Yes","Yes","Yes","High","Low","High","Low","3","20","Intolerant","-13","Mid Spring","No","No","Yes"
"ACKO","","Acacia koa","HI","USA(HI)","Dicot","Plantae","Perennial","Tree","Year Round","","No","No","Yellow","No","Green","Moderate","Moderate","Medium","Brown","No","Single Stem","Moderate","100","110","Yes","Long","No","Erect","None","Yes","Yes","Yes","Medium","Medium","Medium","Medium","50","200","Intolerant","31","Spring","No","No","No"
"ACLI8","","Acacia ligulata","","","Dicot","Plantae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACLO","","Acacia longifolia","NA (L48)","USA(CA)","Dicot","Plantae","Perennial","Tree, Shrub","Spring and Summer","","No","No","Yellow","Yes","Green","Dense","Dense","Fine","Brown","Yes","Multiple Stem","Rapid","20","20","Yes","Short","No","Semi-Erect","None","Yes","Yes","Yes","High","Low","Medium","Medium","16","40","Intolerant","14","Summer","No","No","No"
"ACMA","","Acacia macracantha","NA (L48), PR, VI","USA (FL, GA, NM), USA+ (PR, VI)","Dicot","Plantae","Perennial","Tree","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
