"Accepted Symbol","Synonym Symbol","Scientific Name","PLANTS Floristic Area","State and Province","Category","Kingdom","Duration","Growth Habit","Active Growth Period","After Harvest Regrowth Rate","Bloat","C:N Ratio","Coppice Potential","Fall Conspicuous","Fire Resistance","Flower Color","Flower Conspicuous","Foliage Color","Foliage Porosity Summer","Foliage Porosity Winter","Foliage Texture","Fruit Color","Fruit Conspicuous","Growth Form","Growth Rate","Height at Base Age, Maximum (feet)","Height, Mature (feet)","Known Allelopath","Leaf Retention","Lifespan","Low Growing Grass","Nitrogen Fixation","Resprout Ability","Shape and Orientation","Toxicity","Adapted to Coarse Textured Soils","Adapted to Medium Textured Soils","Adapted to Fine Textured Soils","Anaerobic Tolerance","CaCO<SUB>3</SUB> Tolerance","Cold Stratification Required","Drought Tolerance","Fertility Requirement","Fire Tolerance","Frost Free Days, Minimum","Hedge Tolerance","Moisture Use","pH (Minimum)","pH (Maximum)","Planting Density per Acre, Minimum","Planting Density per Acre, Maximum","Precipitation (Minimum)","Precipitation (Maximum)","Root Depth, Minimum (inches)","Salinity Tolerance","Shade Tolerance","Temperature, Minimum (°F)","Bloom Period","Commercial Availability","Fruit/Seed Abundance","Fruit/Seed Period Begin","Fruit/Seed Period End","Fruit/Seed Persistence","Propogated by Bare Root","Propogated by Bulbs","Propogated by Container","Propogated by Corms","Propogated by Cuttings","Propogated by Seed","Propogated by Sod","Propogated by Sprigs","Propogated by Tubers","Seeds per Pound","Seed Spread Rate","Seedling Vigor","Small Grain","Vegetative Spread Rate","Berry/Nut/Seed Product","Christmas Tree Product","Fodder Product","Fuelwood Product","Lumber Product","Naval Store Product","Nursery Stock Product","Palatable Browse Animal","Palatable Graze Animal","Palatable Human","Post Product","Protein Potential","Pulpwood Product","Veneer Product"
"AGPA5","","Agave parviflora","NA (L48)","USA(AZ)","Monocot","Plantae","Perennial","Shrub, Subshrub, Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AGSH","","Agave shawii","NA (L48)","USA(CA)","Monocot","Plantae","Perennial","Subshrub, Forb/herb, Shrub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AGSI2","","Agave sisalana","NA (L48, GU, PB), HI, PR, VI","USA+(PR, VI), USA(FL, HI, PW, UM)","Monocot","Plantae","Perennial","Subshrub, Shrub, Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AGUT","","Agave utahensis","NA (L48)","USA(AZ, CA, NV, UT)","Monocot","Plantae","Perennial","Subshrub, Shrub, Forb/herb","Spring and Summer","","None","High","Yes","Yes","No","Yellow","Yes","Dark Green","Porous","Porous","Coarse","Black","No","Single Stem","Moderate","1","1.0","No","Yes","Moderate","No","None","No","Erect","None","Yes","Yes","No","None","High","No","High","Low","None","120","Low","Low","7.0","8.0","50","170","5","24","6","None","Intolerant","-23","Mid Spring","Contracting Only","High","Summer","Fall","No","Yes","No","Yes","No","No","Yes","No","No","No","12000","Rapid","High","No","Slow","No","No","No","","No","No","Yes","Low","Low","No","No","Low","No","No"
"AGUTK","","Agave utahensis var. kaibabensis","NA (L48)","USA(AZ, UT)","Monocot","Plantae","Perennial","Subshrub, Shrub, Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AGUTN","","Agave utahensis var. nevadensis","NA (L48)","USA(CA, NV)","Monocot","Plantae","Perennial","Forb/herb, Shrub, Subshrub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AGALA","","Ageratina altissima var. altissima","NA (L48, CAN)","CAN(NB, NS, NT, ON, QC), USA(AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV)","Dicot","Plantae","Perennial","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AGALA","EURU6","Eupatorium rugosum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AGARA","","Ageratina aromatica var. aromatica","NA (L48)","USA(AL, CT, DC, DE, FL, GA, KY, LA, MA, MD, MS, NC, NJ, NY, OH, PA, RI, SC, TN, VA, WV)","Dicot","Plantae","Perennial","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AGHE5","","Ageratina herbacea","NA (L48)","USA(AZ, CA, CO, NM, NV, TX, UT)","Dicot","Plantae","Perennial","Subshrub, Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
