"Accepted Symbol","Synonym Symbol","Scientific Name","PLANTS Floristic Area","State and Province","Category","Kingdom","Duration","Growth Habit","Active Growth Period","After Harvest Regrowth Rate","Bloat","C:N Ratio","Coppice Potential","Fall Conspicuous","Fire Resistance","Flower Color","Flower Conspicuous","Foliage Color","Foliage Porosity Summer","Foliage Porosity Winter","Foliage Texture","Fruit Color","Fruit Conspicuous","Growth Form","Growth Rate","Height at Base Age, Maximum (feet)","Height, Mature (feet)","Known Allelopath","Leaf Retention","Lifespan","Low Growing Grass","Nitrogen Fixation","Resprout Ability","Shape and Orientation","Toxicity","Adapted to Coarse Textured Soils","Adapted to Medium Textured Soils","Adapted to Fine Textured Soils","Anaerobic Tolerance","CaCO<SUB>3</SUB> Tolerance","Cold Stratification Required","Drought Tolerance","Fertility Requirement","Fire Tolerance","Frost Free Days, Minimum","Hedge Tolerance","Moisture Use","pH (Minimum)","pH (Maximum)","Planting Density per Acre, Minimum","Planting Density per Acre, Maximum","Precipitation (Minimum)","Precipitation (Maximum)","Root Depth, Minimum (inches)","Salinity Tolerance","Shade Tolerance","Temperature, Minimum (°F)","Bloom Period","Commercial Availability","Fruit/Seed Abundance","Fruit/Seed Period Begin","Fruit/Seed Period End","Fruit/Seed Persistence","Propogated by Bare Root","Propogated by Bulbs","Propogated by Container","Propogated by Corms","Propogated by Cuttings","Propogated by Seed","Propogated by Sod","Propogated by Sprigs","Propogated by Tubers","Seeds per Pound","Seed Spread Rate","Seedling Vigor","Small Grain","Vegetative Spread Rate","Berry/Nut/Seed Product","Christmas Tree Product","Fodder Product","Fuelwood Product","Lumber Product","Naval Store Product","Nursery Stock Product","Palatable Browse Animal","Palatable Graze Animal","Palatable Human","Post Product","Protein Potential","Pulpwood Product","Veneer Product"
"HEPI11","","Hesperocyparis pigmaea","NA (L48)","USA(CA)","Gymnosperm","Plantae","Perennial","Tree, Shrub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HEPI11","CUGOP2","Cupressus goveniana ssp. pygmaea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HESA17","","Hesperocyparis sargentii","NA (L48)","USA(CA, OR)","Gymnosperm","Plantae","Perennial","Tree, Shrub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HESA17","CUSA3","Cupressus sargentii","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HEST10","","Hesperocyparis stephensonii","NA (L48)","USA(CA)","Gymnosperm","Plantae","Perennial","Tree","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HEST10","CUARS2","Cupressus arizonica ssp. stephensonii","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HECO12","","Hesperolinon congestum","NA (L48)","USA(CA)","Dicot","Plantae","Annual","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HECOC8","","Hesperostipa comata ssp. comata","NA (L48, CAN)","CAN(AB, BC, MB, ON, SK, YT), USA(AZ, CA, CO, IA, ID, IL, IN, KS, MI, MN, MT, ND, NE, NM, NV, NY, OK, OR, RI, SD, TX, UT, WA, WI, WY)","Monocot","Plantae","Perennial","Graminoid","Spring","Slow","None","High","No","No","No","White","No","Green","Dense","Moderate","Medium","White","Yes","Thicket Forming","Moderate","","3.0","No","No","Moderate","No","None","No","Semi-Erect","None","Yes","Yes","No","None","Medium","Yes","High","Low","High","130","None","Low","6.6","8.4","","","5","20","16","None","Intolerant","-38","Early Summer","Routinely Available","Medium","Summer","Fall","No","No","No","No","No","No","Yes","No","No","No","137857","Slow","Low","No","None","No","No","Yes","","No","No","No","Medium","High","No","No","Medium","No","No"
"HECOC8","STCO4","Stipa comata","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HEWH","","Hesperoyucca whipplei","NA (L48)","USA(AZ, CA)","Monocot","Plantae","Perennial","Forb/herb, Shrub, Subshrub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HEWH","YUWH","Yucca whipplei","","","","","","","Spring and Summer","","None","High","No","Yes","No","White","Yes","Gray-Green","Porous","Porous","Coarse","Brown","Yes","Colonizing","Slow","3","4.0","No","Yes","Long","No","None","Yes","Semi-Erect","None","Yes","Yes","No","None","Medium","No","High","Low","Medium","200","None","Low","6.4","8.5","700","2700","8","14","14","Low","Intolerant","7","Late Spring","No Known Source","Medium","Summer","Summer","No","Yes","No","Yes","No","No","Yes","No","Yes","No","27000","Moderate","Medium","No","Slow","No","No","No","","No","No","Yes","","","Yes","No","","No","No"
"HEWH","YUWHP3","Yucca whipplei var. parishii","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HEWH","YUWHW","Yucca whipplei var. whipplei","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HEDU2","","Heteranthera dubia","NA (L48, CAN)","CAN(BC, MB, NB, ON, QC), USA(AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NY, OH, OK, OR, PA, SC, SD, TN, TX, VA, VT, WA, WI, WV)","Monocot","Plantae","Annual, Perennial","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HELI2","","Heteranthera limosa","NA (L48), PR","USA+(PR), USA(AR, AZ, CA, CO, FL, IA, IL, KS, KY, LA, MN, MO, MS, NE, NM, OK, SD, TN, TX)","Monocot","Plantae","Annual","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HERE","","Heteranthera reniformis","NA (L48), PR","USA+(PR), USA(AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KY, LA, MD, MO, MS, NC, NJ, NY, OH, PA, SC, TN, TX, VA, WV)","Monocot","Plantae","Perennial","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HEDI8","","Heterocladium dimorphum","NA (L48)","","Moss","Plantae","","Nonvascular","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HEAR5","","Heteromeles arbutifolia","NA (L48), HI","USA(CA, HI)","Dicot","Plantae","Perennial","Tree, Shrub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HETER6","","Heteropogon","NA (L48)","USA+(PR, VI), USA(AL, AZ, CA, FL, GA, HI, NC, NM, SC, TX)","Monocot","Plantae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HECO10","","Heteropogon contortus","NA (L48), HI, PR, VI","USA+(PR, VI), USA(AZ, CA, FL, HI, NM, TX)","Monocot","Plantae","Perennial","Graminoid","Spring and Summer","Slow","None","Medium","No","No","No","Yellow","No","Green","Moderate","Porous","Medium","Brown","No","Bunch","Moderate","","0.7","No","No","Moderate","No","None","No","Erect","None","Yes","Yes","No","None","None","No","High","Low","High","210","None","Low","6.0","8.0","","","5","14","10","Low","Intolerant","7","Early Summer","Routinely Available","Low","Summer","Fall","No","No","No","No","No","No","Yes","No","No","No","630000","Slow","Medium","No","None","No","No","Yes","","No","No","No","Medium","Medium","No","No","Low","No","No"
"HEME","","Heteropogon melanocarpus","NA (L48)","USA(AL, AZ, FL, GA, NC, SC, TX)","Monocot","Plantae","Annual","Graminoid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HELA22","","Heteropterys laurifolia","PR, VI","USA+(PR, VI)","Dicot","Plantae","Perennial","Tree, Shrub, Vine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HEPU17","","Heteropterys purpurea","PR, VI","USA+(PR, VI)","Dicot","Plantae","Perennial","Vine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HEWY2","","Heteropterys wydleriana","PR","USA+(PR)","Dicot","Plantae","Perennial","Vine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HEFU3","","Heterotheca fulcrata","NA (L48)","USA(AZ, CO, NM, NV, TX, UT, WY)","Dicot","Plantae","Perennial","Forb/herb, Subshrub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HEGR7","","Heterotheca grandiflora","NA (L48), HI","USA(AZ, CA, HI, NV, UT)","Dicot","Plantae","Annual, Biennial, Perennial","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HEPU14","","Heterotheca pumila","NA (L48)","USA(CO, NM, WY)","Dicot","Plantae","Perennial","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HESU3","","Heterotheca subaxillaris","NA (L48)","USA(AL, AR, AZ, CA, CO, CT, DE, FL, GA, IA, IL, IN, KS, KY, LA, MD, MO, MS, NC, NE, NJ, NM, NV, NY, OK, PA, SC, TN, TX, UT, VA)","Dicot","Plantae","Annual","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HEVI4","","Heterotheca villosa","NA (L48, CAN)","CAN(AB, BC, MB, ON, SK), USA(AZ, CA, CO, IA, ID, IL, IN, KS, MI, MN, MT, ND, NE, NM, NV, OK, OR, SD, TX, UT, WA, WI, WY)","Dicot","Plantae","Perennial","Subshrub, Forb/herb","Spring and Summer","Moderate","None","Medium","No","No","No","Yellow","Yes","Gray-Green","Moderate","Porous","Coarse","Brown","No","Multiple Stem","Moderate","","3.0","No","No","Short","No","None","No","Erect","None","Yes","Yes","No","None","Medium","No","Medium","Low","High","130","None","Low","6.0","7.5","","","10","26","14","Low","Intolerant","-33","Mid Summer","Field Collections Only","Medium","Summer","Fall","No","No","No","No","No","No","Yes","No","No","No","336500","Slow","Medium","No","None","No","No","No","","No","No","No","Low","Low","No","No","Low","No","No"
"HEUCH","","Heuchera","NA (L48)","CAN(AB, BC, MB, NT, ON, SK), USA(AK, AL, AR, AZ, CA, CO, CT, DC, DE, GA, IA, ID, IL, IN, KS, KY, LA, MD, MI, MN, MO, MS, MT, NC, ND, NE, NJ, NM, NV, NY, OH, OK, OR, PA, SC, SD, TN, TX, UT, VA, WA, WI, WV, WY)","Dicot","Plantae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HEAM6","","Heuchera americana","NA (L48, CAN)","CAN(ON), USA(AL, AR, CT, DC, DE, GA, IA, IL, IN, KS, KY, LA, MD, MI, MO, MS, NC, NE, NJ, NY, OH, OK, PA, SC, TN, VA, WV)","Dicot","Plantae","Perennial","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HEBR2","","Heuchera bracteata","NA (L48)","USA(CO, WY)","Dicot","Plantae","Perennial","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HEBR3","","Heuchera brevistaminea","NA (L48)","USA(CA)","Dicot","Plantae","Perennial","Subshrub, Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HECY2","","Heuchera cylindrica","NA (L48, CAN)","CAN(AB, BC), USA(CA, ID, MT, NV, OR, WA, WY)","Dicot","Plantae","Perennial","Forb/herb","Spring and Summer","Rapid","None","Medium","No","No","No","White","Yes","Green","Porous","Porous","Medium","Brown","No","Single Crown","Rapid","","6.0","No","No","Short","No","None","No","Rounded","None","Yes","No","No","None","Low","Yes","High","Low","High","120","High","Low","7.0","8.0","","","10","35","6","None","Intermediate","-13","Mid Spring","Contracting Only","Low","Summer","Fall","No","No","No","Yes","No","No","Yes","No","No","No","7616938","Moderate","High","No","Rapid","No","No","No","","No","No","No","Low","Low","No","No","Medium","No","No"
"HECYA","","Heuchera cylindrica var. alpina","NA (L48, CAN)","CAN(AB), USA(CA, ID, MT, NV, OR, WA)","Dicot","Plantae","Perennial","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HEDU3","","Heuchera duranii","NA (L48)","USA(CA, NV)","Dicot","Plantae","Perennial","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HEGL5","","Heuchera glabra","NA (L48, AK, CAN)","CAN(AB, BC), USA(AK, OR, WA)","Dicot","Plantae","Perennial","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HEHI4","","Heuchera hirsutissima","NA (L48)","USA(CA)","Dicot","Plantae","Perennial","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HEMA4","","Heuchera maxima","NA (L48)","USA(CA)","Dicot","Plantae","Perennial","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HEMI7","","Heuchera micrantha","NA (L48, CAN)","CAN(BC), USA(CA, ID, OR, WA)","Dicot","Plantae","Perennial","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HEMID2","","Heuchera micrantha var. diversifolia","NA (L48, CAN)","CAN(BC), USA(CA, OR, WA)","Dicot","Plantae","Perennial","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HENO","","Heuchera novomexicana","NA (L48)","USA(AZ, NM)","Dicot","Plantae","Perennial","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HEPA9","","Heuchera parishii","NA (L48)","USA(CA)","Dicot","Plantae","Perennial","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HEPA10","","Heuchera parviflora","NA (L48)","USA(AL, AR, GA, IL, IN, KY, MO, MS, NC, OH, SC, TN, VA, WV)","Dicot","Plantae","Perennial","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HEPAU","","Heuchera parvifolia var. utahensis","NA (L48, CAN)","CAN(AB, SK), USA(CO, ID, MT, NV, UT, WY)","Dicot","Plantae","Perennial","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HEPI3","","Heuchera pilosissima","NA (L48)","USA(CA)","Dicot","Plantae","Perennial","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HEPU10","","Heuchera pulchella","NA (L48)","USA(NM)","Dicot","Plantae","Perennial","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HERU","","Heuchera rubescens","NA (L48)","USA(AZ, CA, CO, ID, NM, NV, OR, TX, UT)","Dicot","Plantae","Perennial","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HERUA","","Heuchera rubescens var. alpicola","NA (L48)","USA(CA, NV)","Dicot","Plantae","Perennial","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HERUV","","Heuchera rubescens var. versicolor","NA (L48)","USA(AZ, CA, CO, NM, TX, UT)","Dicot","Plantae","Perennial","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HERUV","HEVE2","Heuchera versicolor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HESA3","","Heuchera sanguinea","NA (L48)","USA(AZ, NM, PA)","Dicot","Plantae","Perennial","Forb/herb","Spring, Summer, Fall","Slow","None","Medium","No","Yes","No","Red","Yes","Green","Porous","Porous","Medium","Brown","No","Single Crown","Moderate","","1.5","No","No","Long","No","None","No","Semi-Erect","None","Yes","Yes","No","None","Medium","No","Low","Medium","Medium","145","None","Medium","5.2","8.0","2700","11000","12","55","10","None","Intermediate","-23","Mid Spring","Routinely Available","Medium","Summer","Fall","No","No","No","Yes","No","No","Yes","No","Yes","No","","Slow","Low","No","Slow","No","No","No","","No","No","Yes","","","No","No","","No","No"
"HEVI2","","Heuchera villosa","NA (L48)","USA(AL, AR, GA, IN, KY, MD, MO, MS, NC, NY, OH, PA, SC, TN, VA, WV)","Dicot","Plantae","Perennial","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HESP3","","Hexalectris spicata","NA (L48)","USA(AL, AR, FL, GA, IL, IN, KS, KY, LA, MD, MO, MS, NC, NM, OH, OK, SC, TN, TX, VA, WV)","Monocot","Plantae","Perennial","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HEAR6","","Hexastylis arifolia","NA (L48)","USA(AL, FL, GA, KY, LA, MS, NC, SC, TN, VA)","Dicot","Plantae","Perennial","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HEARA","","Hexastylis arifolia var. arifolia","NA (L48)","USA(AL, FL, GA, LA, MS, NC, SC, TN, VA)","Dicot","Plantae","Perennial","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HEARA","ASAR10","Asarum arifolium","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HESH2","","Hexastylis shuttleworthii","NA (L48)","USA(AL, GA, MS, NC, NY, SC, TN, VA)","Dicot","Plantae","Perennial","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HESHS","","Hexastylis shuttleworthii var. shuttleworthii","NA (L48)","USA(AL, GA, NC, NY, SC, TN, VA)","Dicot","Plantae","Perennial","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HIBIS2","","Hibiscus","NA (L48, PB)","CAN(MB, NB, NS, ON, PE, QC, SK), USA+(PR, VI), USA(AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PW, RI, SC, SD, TN, TX, UM, UT, VA, VT, WA, WI, WV, WY)","Dicot","Plantae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HIAC","","Hibiscus aculeatus","NA (L48)","USA(AL, FL, GA, LA, MS, NC, SC, TX)","Dicot","Plantae","Perennial","Forb/herb","Summer","Rapid","Low","Medium","No","No","No","White","Yes","Green","Moderate","Porous","Coarse","Green","Yes","Stoloniferous","Rapid","","3.0","No","No","Short","No","None","No","Erect","None","No","Yes","Yes","High","High","No","Medium","Medium","Medium","260","High","Medium","6.0","8.5","640","2560","30","160","12","None","Intolerant","15","Summer","","Medium","Summer","Fall","Yes","No","No","Yes","No","No","Yes","No","No","No","7600","Moderate","High","No","Slow","No","No","No","","No","No","Yes","Medium","Medium","Yes","No","Medium","No","No"
"HICA6","","Hibiscus calyphyllus","HI","USA(HI)","Dicot","Plantae","Perennial","Tree, Subshrub, Shrub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HICA5","","Hibiscus cannabinus","NA (L48), PR","USA+(PR), USA(FL)","Dicot","Plantae","Annual","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HICO2","","Hibiscus coccineus","NA (L48)","USA(AL, AR, FL, GA, LA, MS, NC, SC, VA)","Dicot","Plantae","Perennial","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HIDE","","Hibiscus denudatus","NA (L48)","USA(AZ, CA, NM, NV, TX)","Dicot","Plantae","Perennial","Subshrub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HIEL","","Hibiscus elatus","PR","USA+(PR)","Dicot","Plantae","Perennial","Tree","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HILA2","","Hibiscus laevis","NA (L48, CAN)","CAN(ON), USA(AL, AR, DC, FL, GA, IA, IL, IN, KS, KY, LA, MD, MI, MN, MO, MS, NC, NE, NY, OH, OK, PA, SC, TN, TX, VA, WI, WV)","Dicot","Plantae","Perennial","Forb/herb","Spring, Summer, Fall","","None","Medium","No","No","No","Purple","Yes","Green","Moderate","Porous","Coarse","Brown","No","Multiple Stem","Moderate","","8.0","No","No","Moderate","No","None","No","Erect","None","No","Yes","Yes","High","Low","No","Low","Medium","High","140","None","High","5.5","7.2","1700","2700","32","60","12","None","Intermediate","-13","Mid Summer","Routinely Available","Medium","Summer","Fall","Yes","Yes","No","Yes","No","Yes","Yes","No","No","No","","Slow","Low","No","None","No","No","No","","No","No","Yes","Low","Low","No","No","Low","No","No"
"HILA2","HIMI2","Hibiscus militaris","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HILA6","","Hibiscus lasiocarpos","NA (L48)","USA(AL, AR, CA, FL, GA, IL, IN, KS, KY, LA, MO, MS, NM, OK, TN, TX)","Dicot","Plantae","Annual, Perennial","Forb/herb, Subshrub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HILA6","HICA7","Hibiscus californicus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HIMO","","Hibiscus moscheutos","NA (L48, CAN)","CAN(ON), USA(AL, CT, DC, DE, FL, GA, IL, IN, KS, KY, LA, MA, MD, MI, MO, MS, NC, NJ, NM, NY, OH, OK, PA, RI, SC, TN, TX, UT, VA, WI, WV)","Dicot","Plantae","Annual, Perennial","Subshrub, Forb/herb","Spring","Slow","None","","No","No","No","White","Yes","Gray-Green","Moderate","Porous","Coarse","Brown","No","Multiple Stem","Rapid","","6.6","No","No","Moderate","No","None","No","Erect","None","No","Yes","Yes","High","Medium","No","None","Medium","Low","160","None","High","4.0","7.5","2728","3450","35","65","10","Low","Intolerant","-13","Summer","Routinely Available","Low","Summer","Fall","No","No","No","Yes","No","No","Yes","No","No","No","200000","Slow","High","No","None","No","No","No","","No","No","No","Low","Low","No","No","","No","No"
